county,office,district,party,candidate,votes
Adams,U.S. Senate,,DEM,Tammy Baldwin,4806
Adams,U.S. Senate,,REP,Eric Hovde,7551
Ashland,U.S. Senate,,DEM,Tammy Baldwin,4775
Ashland,U.S. Senate,,REP,Eric Hovde,3844
Barron,U.S. Senate,,DEM,Tammy Baldwin,9352
Barron,U.S. Senate,,REP,Eric Hovde,16462
Bayfield,U.S. Senate,,DEM,Tammy Baldwin,6260
Bayfield,U.S. Senate,,REP,Eric Hovde,4697
Brown,U.S. Senate,,DEM,Tammy Baldwin,67789
Brown,U.S. Senate,,REP,Eric Hovde,76722
Buffalo,U.S. Senate,,DEM,Tammy Baldwin,2913
Buffalo,U.S. Senate,,REP,Eric Hovde,4898
Burnett,U.S. Senate,,DEM,Tammy Baldwin,3730
Burnett,U.S. Senate,,REP,Eric Hovde,6745
Calumet,U.S. Senate,,DEM,Tammy Baldwin,12850
Calumet,U.S. Senate,,REP,Eric Hovde,19075
Chippewa,U.S. Senate,,DEM,Tammy Baldwin,14875
Chippewa,U.S. Senate,,REP,Eric Hovde,22189
Clark,U.S. Senate,,DEM,Tammy Baldwin,4819
Clark,U.S. Senate,,REP,Eric Hovde,9917
Columbia,U.S. Senate,,DEM,Tammy Baldwin,16753
Columbia,U.S. Senate,,REP,Eric Hovde,17120
Crawford,U.S. Senate,,DEM,Tammy Baldwin,4026
Crawford,U.S. Senate,,REP,Eric Hovde,4761
Dane,U.S. Senate,,DEM,Tammy Baldwin,273696
Dane,U.S. Senate,,REP,Eric Hovde,84762
Dodge,U.S. Senate,,DEM,Tammy Baldwin,16819
Dodge,U.S. Senate,,REP,Eric Hovde,31928
Door,U.S. Senate,,DEM,Tammy Baldwin,10503
Door,U.S. Senate,,REP,Eric Hovde,9942
Douglas,U.S. Senate,,DEM,Tammy Baldwin,13119
Douglas,U.S. Senate,,REP,Eric Hovde,11105
Dunn,U.S. Senate,,DEM,Tammy Baldwin,10795
Dunn,U.S. Senate,,REP,Eric Hovde,13983
Eau Claire,U.S. Senate,,DEM,Tammy Baldwin,34382
Eau Claire,U.S. Senate,,REP,Eric Hovde,26584
Florence,U.S. Senate,,DEM,Tammy Baldwin,788
Florence,U.S. Senate,,REP,Eric Hovde,2272
Fond Du Lac,U.S. Senate,,DEM,Tammy Baldwin,20777
Fond Du Lac,U.S. Senate,,REP,Eric Hovde,35909
Forest,U.S. Senate,,DEM,Tammy Baldwin,1853
Forest,U.S. Senate,,REP,Eric Hovde,3200
Grant,U.S. Senate,,DEM,Tammy Baldwin,11300
Grant,U.S. Senate,,REP,Eric Hovde,14995
Green,U.S. Senate,,DEM,Tammy Baldwin,11188
Green,U.S. Senate,,REP,Eric Hovde,10280
Green Lake,U.S. Senate,,DEM,Tammy Baldwin,3592
Green Lake,U.S. Senate,,REP,Eric Hovde,7138
Iowa,U.S. Senate,,DEM,Tammy Baldwin,7946
Iowa,U.S. Senate,,REP,Eric Hovde,6323
Iron,U.S. Senate,,DEM,Tammy Baldwin,1513
Iron,U.S. Senate,,REP,Eric Hovde,2445
Jackson,U.S. Senate,,DEM,Tammy Baldwin,4314
Jackson,U.S. Senate,,REP,Eric Hovde,5764
Jefferson,U.S. Senate,,DEM,Tammy Baldwin,20631
Jefferson,U.S. Senate,,REP,Eric Hovde,28005
Juneau,U.S. Senate,,DEM,Tammy Baldwin,4991
Juneau,U.S. Senate,,REP,Eric Hovde,8993
Kenosha,U.S. Senate,,DEM,Tammy Baldwin,41946
Kenosha,U.S. Senate,,REP,Eric Hovde,45165
Kewaunee,U.S. Senate,,DEM,Tammy Baldwin,4254
Kewaunee,U.S. Senate,,REP,Eric Hovde,7869
La Crosse,U.S. Senate,,DEM,Tammy Baldwin,39268
La Crosse,U.S. Senate,,REP,Eric Hovde,30746
Lafayette,U.S. Senate,,DEM,Tammy Baldwin,3763
Lafayette,U.S. Senate,,REP,Eric Hovde,4838
Langlade,U.S. Senate,,DEM,Tammy Baldwin,3830
Langlade,U.S. Senate,,REP,Eric Hovde,7444
Lincoln,U.S. Senate,,DEM,Tammy Baldwin,6572
Lincoln,U.S. Senate,,REP,Eric Hovde,10119
Manitowoc,U.S. Senate,,DEM,Tammy Baldwin,17627
Manitowoc,U.S. Senate,,REP,Eric Hovde,27201
Marathon,U.S. Senate,,DEM,Tammy Baldwin,31883
Marathon,U.S. Senate,,REP,Eric Hovde,44779
Marinette,U.S. Senate,,DEM,Tammy Baldwin,7678
Marinette,U.S. Senate,,REP,Eric Hovde,15730
Marquette,U.S. Senate,,DEM,Tammy Baldwin,3405
Marquette,U.S. Senate,,REP,Eric Hovde,5729
Menominee,U.S. Senate,,DEM,Tammy Baldwin,1203
Menominee,U.S. Senate,,REP,Eric Hovde,288
Milwaukee,U.S. Senate,,DEM,Tammy Baldwin,315402
Milwaukee,U.S. Senate,,REP,Eric Hovde,131700
Monroe,U.S. Senate,,DEM,Tammy Baldwin,8647
Monroe,U.S. Senate,,REP,Eric Hovde,13860
Oconto,U.S. Senate,,DEM,Tammy Baldwin,7180
Oconto,U.S. Senate,,REP,Eric Hovde,16959
Oneida,U.S. Senate,,DEM,Tammy Baldwin,10272
Oneida,U.S. Senate,,REP,Eric Hovde,13898
Outagamie,U.S. Senate,,DEM,Tammy Baldwin,49196
Outagamie,U.S. Senate,,REP,Eric Hovde,59077
Ozaukee,U.S. Senate,,DEM,Tammy Baldwin,27208
Ozaukee,U.S. Senate,,REP,Eric Hovde,34914
Pepin,U.S. Senate,,DEM,Tammy Baldwin,1591
Pepin,U.S. Senate,,REP,Eric Hovde,2636
Pierce,U.S. Senate,,DEM,Tammy Baldwin,10407
Pierce,U.S. Senate,,REP,Eric Hovde,14172
Polk,U.S. Senate,,DEM,Tammy Baldwin,9710
Polk,U.S. Senate,,REP,Eric Hovde,17446
Portage,U.S. Senate,,DEM,Tammy Baldwin,21989
Portage,U.S. Senate,,REP,Eric Hovde,20082
Price,U.S. Senate,,DEM,Tammy Baldwin,3181
Price,U.S. Senate,,REP,Eric Hovde,5424
Racine,U.S. Senate,,DEM,Tammy Baldwin,49333
Racine,U.S. Senate,,REP,Eric Hovde,54789
Richland,U.S. Senate,,DEM,Tammy Baldwin,4111
Richland,U.S. Senate,,REP,Eric Hovde,4912
Rock,U.S. Senate,,DEM,Tammy Baldwin,47080
Rock,U.S. Senate,,REP,Eric Hovde,38097
Rusk,U.S. Senate,,DEM,Tammy Baldwin,2548
Rusk,U.S. Senate,,REP,Eric Hovde,5372
Sauk,U.S. Senate,,DEM,Tammy Baldwin,18429
Sauk,U.S. Senate,,REP,Eric Hovde,17895
Sawyer,U.S. Senate,,DEM,Tammy Baldwin,4621
Sawyer,U.S. Senate,,REP,Eric Hovde,6208
Shawano,U.S. Senate,,DEM,Tammy Baldwin,7549
Shawano,U.S. Senate,,REP,Eric Hovde,15052
Sheboygan,U.S. Senate,,DEM,Tammy Baldwin,27552
Sheboygan,U.S. Senate,,REP,Eric Hovde,37747
St. Croix,U.S. Senate,,DEM,Tammy Baldwin,23792
St. Croix,U.S. Senate,,REP,Eric Hovde,34844
Taylor,U.S. Senate,,DEM,Tammy Baldwin,2943
Taylor,U.S. Senate,,REP,Eric Hovde,7892
Trempealeau,U.S. Senate,,DEM,Tammy Baldwin,6424
Trempealeau,U.S. Senate,,REP,Eric Hovde,9118
Vernon,U.S. Senate,,DEM,Tammy Baldwin,7765
Vernon,U.S. Senate,,REP,Eric Hovde,8312
Vilas,U.S. Senate,,DEM,Tammy Baldwin,6120
Vilas,U.S. Senate,,REP,Eric Hovde,9607
Walworth,U.S. Senate,,DEM,Tammy Baldwin,22882
Walworth,U.S. Senate,,REP,Eric Hovde,35692
Washburn,U.S. Senate,,DEM,Tammy Baldwin,3916
Washburn,U.S. Senate,,REP,Eric Hovde,6724
Washington,U.S. Senate,,DEM,Tammy Baldwin,28053
Washington,U.S. Senate,,REP,Eric Hovde,61163
Waukesha,U.S. Senate,,DEM,Tammy Baldwin,105781
Waukesha,U.S. Senate,,REP,Eric Hovde,163590
Waupaca,U.S. Senate,,DEM,Tammy Baldwin,10013
Waupaca,U.S. Senate,,REP,Eric Hovde,19117
Waushara,U.S. Senate,,DEM,Tammy Baldwin,4643
Waushara,U.S. Senate,,REP,Eric Hovde,9253
Winnebago,U.S. Senate,,DEM,Tammy Baldwin,44721
Winnebago,U.S. Senate,,REP,Eric Hovde,47265
Wood,U.S. Senate,,DEM,Tammy Baldwin,17134
Wood,U.S. Senate,,REP,Eric Hovde,23662
