county,office,district,party,candidate,votes
Dodge,President,,NP,Peter Sonski,8
Dodge,President,,NP,Cherunda Lynn Fox,0
Door,President,,DEM,Kamala D. Harris,10565
Door,President,,REP,Donald J. Trump,10099
Door,President,,CON,Randall Terry,24
Door,President,,LIB,Chase Russell Oliver,51
Door,President,,WGR,Jill Stein,40
Door,President,,NP,Claudia De la Cruz,8
Door,President,,NP,Cornel West,10
Door,President,,NP,Robert F. Kennedy Jr.,99
Door,President,,NP,Peter Sonski,5
Door,President,,NP,Cherunda Lynn Fox,0
Douglas,President,,DEM,Kamala D. Harris,13073
Douglas,President,,REP,Donald J. Trump,11732
Douglas,President,,CON,Randall Terry,26
Douglas,President,,LIB,Chase Russell Oliver,91
Douglas,President,,WGR,Jill Stein,74
Douglas,President,,NP,Claudia De la Cruz,9
Douglas,President,,NP,Cornel West,10
Douglas,President,,NP,Robert F. Kennedy Jr.,150
Douglas,President,,NP,Peter Sonski,4
Douglas,President,,NP,Cherunda Lynn Fox,0
Dunn,President,,DEM,Kamala D. Harris,10643
Dunn,President,,REP,Donald J. Trump,14726
Dunn,President,,CON,Randall Terry,26
Dunn,President,,LIB,Chase Russell Oliver,83
Dunn,President,,WGR,Jill Stein,53
Dunn,President,,NP,Claudia De la Cruz,13
Dunn,President,,NP,Cornel West,12
Dunn,President,,NP,Robert F. Kennedy Jr.,118
Dunn,President,,NP,Peter Sonski,4
Dunn,President,,NP,Cherunda Lynn Fox,0
Eau Claire,President,,DEM,Kamala D. Harris,34400
Eau Claire,President,,REP,Donald J. Trump,27728
Eau Claire,President,,CON,Randall Terry,68
Eau Claire,President,,LIB,Chase Russell Oliver,225
Eau Claire,President,,WGR,Jill Stein,197
Eau Claire,President,,NP,Claudia De la Cruz,45
Eau Claire,President,,NP,Cornel West,25
Eau Claire,President,,NP,Robert F. Kennedy Jr.,315
Eau Claire,President,,NP,Peter Sonski,17
Eau Claire,President,,NP,Cherunda Lynn Fox,0
Florence,President,,DEM,Kamala D. Harris,783
Florence,President,,REP,Donald J. Trump,2356
Florence,President,,CON,Randall Terry,2
Florence,President,,LIB,Chase Russell Oliver,5
Florence,President,,WGR,Jill Stein,2
Florence,President,,NP,Claudia De la Cruz,0
Florence,President,,NP,Cornel West,1
Florence,President,,NP,Robert F. Kennedy Jr.,9
Florence,President,,NP,Peter Sonski,0
